date,temp_mean,precip_sum,wind_max,station
2020-09,17.64,64.9,33.91,DIJON VILLE
2020-10,10.59,139.5,39.82,DIJON VILLE
2020-11,6.81,25.2,26.17,DIJON VILLE
2020-12,4.3,94.3,39.56,DIJON VILLE
2021-01,2.61,107.4,33.38,DIJON VILLE
2021-02,5.32,61.7,30.82,DIJON VILLE
2021-03,6.58,40.9,37.36,DIJON VILLE
2021-04,8.21,33.8,25.78,DIJON VILLE
2021-05,11.81,99.9,37.58,DIJON VILLE
2021-06,19.21,142.9,24.16,DIJON VILLE
2021-07,18.43,138.2,28.48,DIJON VILLE
2021-08,18.24,41.2,26.83,DIJON VILLE
2021-09,17.35,61.2,25.85,DIJON VILLE
2021-10,10.8,87.0,39.61,DIJON VILLE
2021-11,4.67,42.2,26.21,DIJON VILLE
2021-12,4.07,91.1,32.74,DIJON VILLE
2022-01,1.66,43.3,32.96,DIJON VILLE
2022-02,5.05,45.9,33.67,DIJON VILLE
2022-03,7.8,31.8,30.89,DIJON VILLE
2022-04,10.3,50.8,39.46,DIJON VILLE
2022-05,16.85,39.8,28.99,DIJON VILLE
2022-06,20.0,135.1,30.83,DIJON VILLE
2022-07,22.27,21.6,24.14,DIJON VILLE
2022-08,22.12,48.4,28.88,DIJON VILLE
2022-09,15.05,95.8,25.77,DIJON VILLE
2022-10,14.94,58.7,27.9,DIJON VILLE
2022-11,7.8,90.9,27.0,DIJON VILLE
2022-12,4.17,64.1,27.38,DIJON VILLE
2023-01,3.83,51.1,35.13,DIJON VILLE
2023-02,4.13,6.1,39.53,DIJON VILLE
2023-03,7.65,80.4,38.92,DIJON VILLE
2023-04,9.15,56.7,24.19,DIJON VILLE
2023-05,14.87,42.5,29.09,DIJON VILLE
2023-06,20.62,57.3,21.98,DIJON VILLE
2023-07,20.32,67.7,25.16,DIJON VILLE
2023-08,20.24,40.2,37.73,DIJON VILLE
2023-09,19.34,27.9,27.75,DIJON VILLE
2023-10,13.69,176.7,33.81,DIJON VILLE
2023-11,6.94,100.9,38.36,DIJON VILLE
2023-12,5.21,65.6,30.02,DIJON VILLE
2024-01,2.94,54.1,31.82,DIJON VILLE
